City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Date
Abnūb,EG,27.2696,31.1511,84.2,23,0,11.5,1619725877
Port Hawkesbury,CA,45.6169,-61.3485,55.42,51,1,12.66,1619725852
Berezovyy,RU,51.6667,135.7,31.14,97,100,4.09,1619725878
Port Barton,PH,10.4756,119.2472,75.74,85,12,2.86,1619725878
Manta,EC,-0.95,-80.7333,84.2,70,40,9.22,1619725878
Broken Hill,AU,-31.95,141.4333,55.4,44,0,9.22,1619725878
Shimoda,JP,34.6667,138.95,59.32,59,60,5.99,1619725879
Hailin,CN,44.5833,129.4167,36.88,35,13,2.17,1619725879
Chapais,CA,49.7834,-74.8492,60.8,29,1,9.22,1619725879
Beyneu,KZ,45.3167,55.2,59.36,45,28,10.98,1619725879
Shibetsu,JP,43.659,145.132,41.05,94,100,16.89,1619725880
Matara,LK,5.9485,80.5353,77.41,90,99,6.17,1619725880
Khovd,MN,48.0056,91.6419,55.06,39,37,7.25,1619725880
Amapá,BR,1.0,-52.0,77.38,83,98,5.03,1619725880
Curuçá,BR,-0.7289,-47.8481,79.48,91,97,3.22,1619725881
San Rafael,AR,-34.6177,-68.3301,75.97,29,0,18.32,1619725766
Mahabalipuram,IN,12.6264,80.1722,85.08,79,20,4.61,1619725881
Kavaratti,IN,10.5669,72.642,84.18,75,24,5.61,1619725881
Rio Grande,BR,-32.035,-52.0986,70.25,56,0,11.5,1619725882
Salinópolis,BR,-0.6136,-47.3561,81.09,82,98,4.79,1619725882
Harrisonburg,US,38.4496,-78.8689,80.26,47,1,10.36,1619725697
Belmonte,BR,-15.8631,-38.8828,80.6,69,75,5.75,1619725882
Bosaso,SO,11.2842,49.1816,85.37,70,57,5.39,1619725883
Mandalgovi,MN,45.7625,106.2708,32.54,74,6,26.73,1619725883
Havøysund,NO,70.9963,24.6622,27.52,93,90,18.41,1619725883
Ust'-Ilimsk,RU,58.0006,102.6619,24.82,95,63,3.24,1619725884
Abbeville,FR,50.1,1.8333,45.0,66,0,3.44,1619725884
Malindi,KE,-3.2175,40.1191,81.09,80,100,14.52,1619725884
Nyurba,RU,63.2842,118.3319,22.32,96,100,2.06,1619725884
Edd,ER,13.9297,41.6925,85.42,68,23,9.91,1619725885
Hasilpur,PK,29.7122,72.5553,88.92,24,16,11.52,1619725885
Pustoshka,RU,56.3355,29.369,41.86,86,100,5.77,1619725885
La Ronge,CA,55.1001,-105.2842,41.0,28,7,13.8,1619725886
Khakhea,BW,-24.6895,23.494,65.59,65,58,7.23,1619725886
Belen,TR,36.4891,36.2233,69.8,73,40,17.27,1619725886
Lorengau,PG,-2.0226,147.2712,80.58,80,19,4.45,1619725886
Rome,US,43.2128,-75.4557,53.89,94,90,2.44,1619725887
Middle Island,US,40.8843,-72.9373,64.24,68,40,9.22,1619725887
Baijiantan,CN,45.6333,85.1833,71.04,22,2,2.1,1619725887
Tabalosos,PE,-6.35,-76.6833,86.0,66,40,5.75,1619725887
Kontagora,NG,10.3999,5.4695,90.18,27,65,5.37,1619725888
Waterloo,CA,43.4668,-80.5164,49.15,100,90,4.61,1619725851
Dongsheng,CN,39.8161,109.9776,49.64,52,100,21.3,1619725888
Arlit,NE,18.7369,7.3853,94.48,6,52,10.76,1619725888
Līsakovsk,KZ,52.5369,62.4936,44.98,60,25,8.48,1619725889
Port-Gentil,GA,-0.7193,8.7815,80.6,83,90,4.61,1619725889
Bazaliia,UA,49.7127,26.4733,51.06,84,93,13.87,1619725889
Hofn,IS,64.2539,-15.2082,39.74,77,100,6.93,1619725889
Stephenville,US,32.2207,-98.2023,62.49,94,90,16.11,1619725704
Carutapera,BR,-1.195,-46.02,79.23,90,98,4.21,1619725890
Lavrentiya,RU,65.5833,-171.0,23.68,76,50,3.98,1619725890
Isangel,VU,-19.55,169.2667,66.2,94,75,13.18,1619725890
Galesong,ID,-5.3166,119.3661,73.4,100,20,2.3,1619725815
Djambala,CG,-2.5447,14.7533,70.02,88,100,2.28,1619725890
Riverton,US,40.5219,-111.9391,67.64,39,1,12.66,1619725891
Chernyshevskiy,RU,63.0128,112.4714,22.33,95,90,2.08,1619725891
Souillac,MU,-20.5167,57.5167,77.0,83,75,17.27,1619725891
Codrington,AU,-38.2667,141.9667,51.75,80,0,6.85,1619725892
Ponta Delgada,PT,37.7333,-25.6667,59.0,63,20,9.22,1619725892
Yura,PE,-16.2522,-71.6797,66.2,27,0,11.5,1619725892
Karratha,AU,-20.7377,116.8463,79.16,36,0,8.59,1619725892
Ust-Kuyga,RU,70.0167,135.6,14.47,99,99,2.98,1619725893
Ostrovnoy,RU,68.0531,39.5131,21.94,91,82,10.27,1619725893
Anadyr,RU,64.75,177.4833,14.0,85,0,8.95,1619725893
Shelabolikha,RU,53.4131,82.6167,53.6,82,0,4.47,1619725894
Nemuro,JP,43.3236,145.575,38.21,98,100,22.86,1619725894
Kédougou,SN,12.5579,-12.1743,97.92,18,44,4.25,1619725894
Pareora,NZ,-44.4871,171.2132,55.0,60,100,4.9,1619725894
Tanete,ID,-3.9443,119.7848,73.65,97,91,3.22,1619725895
Jiangyou,CN,31.7667,104.7167,63.03,69,1,4.45,1619725895
Ketchikan,US,55.3422,-131.6461,48.2,93,90,13.8,1619725895
Surovikino,RU,48.6078,42.8486,46.62,61,5,8.34,1619725895
Grindavik,IS,63.8424,-22.4338,42.8,75,75,8.05,1619725896
Camopi,GF,3.1655,-52.3158,71.1,96,98,3.27,1619725896
Lipin Bor,RU,60.2622,37.9763,30.58,80,86,4.94,1619725896
Tottori-shi,JP,35.5,134.2333,51.62,88,0,8.95,1619725729
Newton,US,42.336999999999996,-71.2092,50.41,87,90,6.91,1619725719
Kuloy,RU,61.0305,42.4925,30.7,81,64,5.28,1619725897
Xining,CN,36.6167,101.7667,48.69,30,3,2.71,1619725897
Dudinka,RU,69.4058,86.1778,27.07,98,100,3.69,1619725897
Jalu,LY,29.0331,21.5482,86.4,8,28,7.78,1619725897
Grand-Lahou,CI,5.1367,-5.0242,81.16,83,100,8.48,1619725898
Viranşehir,TR,37.2353,39.7631,70.99,33,80,10.78,1619725898
Taitung City,TW,22.7583,121.1444,71.69,81,98,5.79,1619725898
Māngrol,IN,21.1167,70.1167,81.72,79,100,12.21,1619725639
Te Anau,NZ,-45.4167,167.7167,51.26,94,100,4.09,1619725899
Kutum,SD,14.2,24.6667,81.3,12,52,8.61,1619725899
Chivilcoy,AR,-34.8957,-60.0167,75.99,67,0,3.0,1619725899
Sartell,US,45.6216,-94.2069,64.2,27,1,14.97,1619725899
Kasrāwad,IN,22.1333,75.6,91.81,20,9,12.66,1619725900
Mpika,ZM,-11.8343,31.4529,61.25,97,19,4.03,1619725900
Departamento de Maldonado,UY,-34.6667,-54.9167,70.77,56,0,9.22,1619725900
Imphal,IN,24.8167,93.95,72.03,53,94,1.68,1619725900
Pangnirtung,CA,66.1451,-65.7125,32.0,80,90,3.44,1619725901
San Andrés,CO,12.5847,-81.7006,87.8,62,20,9.22,1619725901
Kloulklubed,PW,7.0419,134.2556,78.8,89,75,7.58,1619725901
Lázaro Cárdenas,MX,17.9583,-102.2,83.62,63,85,10.49,1619725902
Gamba,GA,-2.65,10.0,79.52,86,100,3.65,1619725902
Nālūt,LY,30.3333,10.85,87.98,12,0,6.26,1619725902
Zephyrhills,US,28.2336,-82.1812,89.98,40,40,4.61,1619725790
Laiwu,CN,36.1928,117.6569,50.77,25,55,3.02,1619725902
Bac Lieu,VN,9.285,105.7244,82.38,76,91,10.16,1619725701
Vardø,NO,70.3705,31.1107,30.2,86,75,16.11,1619725903
Nouadhibou,MR,20.930999999999997,-17.0347,69.8,78,20,16.11,1619725903
Puerto Madryn,AR,-42.7692,-65.0385,75.76,31,97,5.53,1619725808
Ballina,AU,-28.8667,153.5667,56.14,94,92,8.05,1619725903
Vila,PT,42.0304,-8.1588,50.0,80,77,5.99,1619725904
Rawson,AR,-43.3002,-65.1023,71.58,41,97,1.68,1619725850
Talas,TR,38.6908,35.5538,66.2,42,40,9.22,1619725904
Jambi City,ID,-1.6,103.6167,72.66,99,100,1.7,1619725905
Sørland,NO,67.667,12.6934,35.6,75,75,16.11,1619725905
Kudahuvadhoo,MV,2.6708,72.8944,83.35,73,15,6.44,1619725905
Kruisfontein,ZA,-34.0033,24.7314,57.99,94,100,5.99,1619725906
Minuri,PH,16.535,121.8574,73.27,87,75,2.75,1619725906
Ambovombe,MG,-25.1667,46.0833,73.76,76,0,6.08,1619725906
Pinheiro Machado,BR,-31.5783,-53.3811,63.73,58,0,2.57,1619725906
Cabatuan,PH,10.8794,122.486,74.46,81,41,2.59,1619725907
Troitskoye,RU,52.9821,84.6757,53.74,96,100,5.7,1619725907
Grants,US,35.1473,-107.8514,60.8,31,1,9.31,1619725908
Ludvika,SE,60.1496,15.1878,38.34,65,26,6.91,1619725908
Wanning,CN,18.8003,110.3967,74.39,90,88,5.41,1619725908
Cabañas,CU,22.9758,-82.9219,93.09,40,40,9.22,1619725908
Ixtapa,MX,20.7,-105.2,80.6,74,75,10.36,1619725909
Christchurch,NZ,-43.5333,172.6333,42.67,100,98,1.14,1619725646
Ahipara,NZ,-35.1667,173.1667,55.13,80,0,3.8,1619725909
Giovinazzo,IT,41.1864,16.6674,67.57,55,0,5.75,1619725909
Lang Son,VN,21.8333,106.7333,66.58,85,59,3.02,1619725910
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,81.16,25,0,7.4,1619725910
Humberto de Campos,BR,-2.5983,-43.4611,80.11,88,86,2.48,1619725910
Berlevåg,NO,70.8578,29.0864,27.73,100,90,32.21,1619725911
Kuching,MY,1.55,110.3333,78.42,94,40,2.3,1619725911
Dawlatabad,AF,36.4141,64.9053,78.51,16,10,6.62,1619725911
Kaeo,NZ,-35.1,173.7833,48.0,93,0,3.0,1619725911
Vostok,RU,46.4856,135.8833,32.7,55,70,3.49,1619725912
Pemangkat,ID,1.1667,108.9667,77.92,84,92,3.0,1619725912
Valparaíso,CL,-33.0393,-71.6273,57.45,94,90,5.75,1619725912
Yangcun,CN,39.3639,117.0603,52.29,81,0,6.71,1619725912
Zamora,EC,-4.0692,-78.9567,78.8,57,75,4.61,1619725913
Lakhnā,IN,26.65,79.15,91.6,13,4,2.39,1619725913
Pyn U Lwin,MM,22.0333,96.4667,67.91,77,76,0.96,1619725913
Porto-Novo,BJ,6.4965,2.6036,82.4,83,20,6.91,1619725914
Naze,JP,28.3667,129.4833,63.16,74,0,10.58,1619725914
Arauca,CO,7.0847,-70.7591,79.39,82,100,1.72,1619725914
Kununurra,AU,-15.7667,128.7333,69.8,100,7,5.01,1619725756
Biak,ID,-0.9131,122.8766,76.06,82,81,3.18,1619725914
Mount Gambier,AU,-37.8333,140.7667,46.4,100,90,6.91,1619725915
San Quintín,MX,30.4833,-115.95,70.88,51,0,14.16,1619725915
Dinghaicun,CN,26.2847,119.7936,60.8,100,0,4.47,1619725915
Kiryat Gat,IL,31.61,34.7642,71.98,69,0,7.45,1619725744
Kristiansund,NO,63.1115,7.732,39.2,70,0,9.22,1619725915
Port Macquarie,AU,-31.4333,152.9167,53.02,99,8,1.99,1619725916
Teseney,ER,15.11,36.6575,88.93,26,46,11.92,1619725916
Cuenca,EC,-2.8833,-78.9833,68.0,56,75,8.05,1619725917
Jāmtāra,IN,23.95,86.8,84.0,32,47,5.75,1619725917
Benguela,AO,-12.5763,13.4055,78.75,80,75,2.15,1619725917
Kodinsk,RU,58.6881,99.1844,25.41,95,22,3.38,1619725917
La Romana,DO,18.4273,-68.9728,87.8,58,40,6.91,1619725762
Alekseyevsk,RU,57.8406,108.3492,22.89,98,18,2.28,1619725918
Andros Town,BS,24.7,-77.7667,81.14,62,95,17.54,1619725918
Abu Kamal,SY,34.4506,40.9171,83.48,20,2,8.59,1619725918
Bucerías,MX,20.75,-105.3333,80.6,74,75,10.36,1619725919
Drimmelen,NL,51.7067,4.8042,44.56,76,9,8.05,1619725919
Qaqortoq,GL,60.7167,-46.0333,42.8,65,20,6.91,1619725919
Lleida,ES,41.6167,0.6167,61.81,94,20,2.3,1619725694
Mabaruma,GY,8.2,-59.7833,76.86,93,89,5.46,1619725919
Kumul,CN,42.8,93.45,69.3,18,9,9.48,1619725757
Schisma Eloundas,GR,35.2667,25.7167,73.22,53,20,13.8,1619725920
Anzio,IT,41.4853,12.6179,59.63,90,43,2.59,1619725920
Charagua,BO,-19.8,-63.2167,75.2,46,40,7.67,1619725920
Bachaquero,VE,9.9694,-71.1494,77.25,82,100,5.39,1619725921
Okha,RU,53.5739,142.9478,27.39,93,100,5.57,1619725921
Henties Bay,,-22.116,14.2845,60.01,83,0,10.0,1619725921
Sungai Penuh,ID,-2.0833,101.3833,64.98,96,100,0.31,1619725921
Pacific Grove,US,36.6177,-121.9166,60.46,63,1,8.05,1619725872
Abasolo,MX,20.45,-101.5167,82.4,23,1,8.05,1619725922
Porbandar,IN,21.6422,69.6093,81.86,76,100,11.1,1619725922
Ashti,IN,19.3833,76.2333,88.59,26,37,4.88,1619725922
Waidhofen,DE,48.5833,11.3333,52.79,82,75,7.65,1619725922
Santa Ana,US,33.7456,-117.8678,85.6,26,1,9.22,1619725638
Bourbonnais,US,41.1417,-87.875,61.63,77,75,4.61,1619725894
Walvis Bay,,-22.9575,14.5053,59.47,67,0,5.75,1619725923
Ferkessédougou,CI,9.6,-5.2,85.69,52,92,8.86,1619725923
Tiznit Province,MA,29.5833,-9.5,58.71,74,26,7.96,1619725923
Siguiri,GN,11.6667,-9.5,89.87,39,99,3.4,1619725924
Isoka,ZM,-10.1606,32.6335,62.1,96,27,1.86,1619725924
Tura,IN,25.5198,90.2201,78.57,37,4,2.57,1619725924
Saint-Pierre,RE,-21.3393,55.4781,72.05,83,9,6.91,1619725925
Tabasalu,EE,59.4303,24.5331,36.23,60,0,3.44,1619725925
Pisco,PE,-13.7,-76.2167,68.43,83,0,8.05,1619725925
Lafia,NG,8.4833,8.5167,88.47,45,81,8.88,1619725925
Vanavara,RU,60.34,102.2797,26.53,93,100,3.27,1619725926
Paragominas,BR,-2.9667,-47.4833,79.3,89,60,3.87,1619725686
Pokosnoye,RU,55.5258,101.0536,32.86,93,100,3.29,1619725926
Ōme,JP,35.7839,139.2431,56.1,100,1,2.98,1619725926
Waupun,US,43.6333,-88.7296,66.47,39,75,9.22,1619725927
Catherinas Lust,GY,6.4,-57.6,77.2,83,91,5.08,1619725927
Utrān,IN,21.2333,72.8667,87.28,52,76,9.08,1619725927
Quelimane,MZ,-17.8786,36.8883,78.39,89,20,4.61,1619725927
